ACC#,CUSTOMER NAME ,SEQ,ROUND 
ROY456,ROYAL MNANDI - KUSILE POWERSTATION ,1,WITBANK 1
SER107,SERVEST KUSILE,2,WITBANK 1
LAB054,LABUSCHAGNE GASTEHUIS                                            ,3,WITBANK 1
SIT045,FEDICS - ABACUS SPACE SOLUTIONS SITE SERVICES,4,WITBANK 1
COL007,COLLIERY TRAINING COLLEGE,5,WITBANK 1
BOK042,BOKMAKIERIE  GUESTHOUSE                                          ,6,WITBANK 1
DUD004,DUDUZA - ESKOM PARK EMALAHLENI                                   ,7,WITBANK 1
EMA007,EMALAHLENI PRIVATE HOSPITAL,8,WITBANK 1
DUC005,DUCKPOND COFFEE SHOP,9,WITBANK 1
FED4743,COSMOS HOSPITAL,10,WITBANK 1
FED4022,FEDICS - RESALE - COSMOS HOSPITAL                                ,11,WITBANK 1
WIE144,WIESENHOF HOSPITAL,12,WITBANK 1
MEA032,MEAT AND FISH CITY                                               ,13,WITBANK 1
FED4636,FEDICS - M CARE,14,WITBANK 1
FED4164,FEDICS - RESALE - M CARE HIGHVELD GP,15,WITBANK 1
KLE018,KLEINBOSVELD GUEST HOUSE,16,WITBANK 1
BIG037,LETS TRADE BIG 5 GUESTHOUSE,17,WITBANK 1
YAL001,YALLA YALLA GUESTHOUSE CC                                        ,18,WITBANK 1
BEL102,BELLE DON BOUTIQUE HOTEL ,19,WITBANK 1
PIC284,PICK N PAY,20,WITBANK 1
180001,180 RIVER CRESENT ,21,WITBANK 1
BEL140,BELLEVUE RINETTE,22,WITBANK 1
IND028,INDLELA COUNTRY ESTATE                                           ,23,WITBANK 1
MUG160,MUGG AND BEAN,24,WITBANK 1
BAG017,BAGS AND BAGGAGE ROSTVELD COFFEE SHOP                            ,25,WITBANK 1
NAN272,NANDOS HIGHVELD MALL ,26,WITBANK 1
SAU069,SAUSAGE SALOON WITBANK                                           ,27,WITBANK 1
NIN179,NINOS,28,WITBANK 1
SAU116,SAUSAGE SALOON HIGHVELD MALL                                     ,29,WITBANK 1
RID013,THE RIDGE CASINO                                                 ,30,WITBANK 1
EXP033,BILLY G'S,31,WITBANK 1
STA233,STAY EASY - EMALAHLENI,32,WITBANK 1
OXB001,OXBOW,1,WITBANK 2
KAI001,KAIA MANZI LODGE                                                 ,2,WITBANK 2
SWG001,SWG TRAVEL - BRONKHORSPRUIT,3,WITBANK 2
BIJ001,BIJOUX,4,WITBANK 2
ONS001,ONS HERBERG,5,WITBANK 2
ROX002,ROXYS DINER,6,WITBANK 2
ABJ002,ABJENCA                                                          ,7,WITBANK 2
BRO005,GOLF CLUB BROKHORSPRUIT,8,WITBANK 2
GUL005,RCL FOODS CONSUMER (PTY) LTD - SPECIALITY BHS                    ,9,WITBANK 2
SIZ003,SIZANANI CONFERENCE CENTRE GROCERIES,10,WITBANK 2
MEU003,MUELSTROOM LODGE ,11,WITBANK 2
SAU109,TOTAL SAUSAGE SALOON,13,WITBANK 2
REE085,FEDICS SAMANCOR FERROMETALS,14,WITBANK 2
EQU014,REEF CROSS ATLANTIC ,15,WITBANK 2
EQU018,EQUILITY REEF - RESALE - CROSS ATLANTIC PROPERTIES - GP,16,WITBANK 2
SIM100,SIMBA SAFARIS,17,WITBANK 2
REE032,FEDICS - REEF - RAND CARBIDE,18,WITBANK 2
GEN010,GENERAAL HERTZOGS KOSHUIS                                        ,19,WITBANK 2
THA113,THATCHERS GUEST HOUSE,20,WITBANK 2
FRO031,THE FROSTED PICKLE CATERING COMPANY                              ,21,WITBANK 2
CHI429,CHICKEN STOP DOWNTOWN MALL                                       ,22,WITBANK 2
POP001,POPEYS,23,WITBANK 2
ROO065,ROOTS FAST FOODS WITBANK ,24,WITBANK 2
BRO098,BROADWAY FILLING STATION                                         ,25,WITBANK 2
BLU190,THE BLUE ROOM                                                    ,26,WITBANK 2
JAV008,JAVA JUNCTION,27,WITBANK 2
CAM067,CAMBRIGE TUCK SHOP                                               ,28,WITBANK 2
HUN030,HUNTSMAN,29,WITBANK 2
MEA033,MEAT DISCOUNTERS                                                 ,30,WITBANK 2
GOG002,GO GO BURGERS TAKE AWAY,31,WITBANK 2
SUM083,SUMMIT ON SITE CTC WITBANK    ,44,WITBANK 2
YUM010,YUMMY CHICKEN KLIPFONTEIN                                        ,32,WITBANK 2
BLU177,BLUE LAGOON                                                      ,33,WITBANK 2
BAK012,BAKING CREATIONS                                                 ,34,WITBANK 2
HYG001,HYGIENIC MEAT CO,35,WITBANK 2
FED4384,FEDICS EDEN PARK RETIREMENT VILLAGE,36,WITBANK 2
FED4187,FEDICS - RESALE - EDEN PARK RETIREMENT VILL ,37,WITBANK 2
TAK020,TAKE 2 PIZZA,38,WITBANK 2
FOR006,SUN 1 HOTELS -  PROPRIETARY                                      ,39,WITBANK 2
DEL033,DEL AMOR WEDDING & CONFERENCE CENTRE CK,40,WITBANK 2
STE483,STEVES PLACE                                                     ,41,WITBANK 2
SUM039,SUMMIT ON SITE,43,WITBANK 2
CGA371,ANGLO AMERICAN GOEDEHOOP COLLIERY,51,WITBANK 2
FOO029,FOOD WORX,42,WITBANK 2
PHA039,PHAKAMANI SOLUTIONS ANGLO AMERICAN COAL HIGHVELD HOSPITAL,12,WITBANK 2
PHA043,PHAKAMANI SOLUTIONS TRANSALLOYS                                  ,45,WITBANK 2
FED3530,FEDICS BOARDING HOUSE GREENSIDE,46,WITBANK 2
REE310,REEF - RESALE - GREENSIDE BOARDING HOUSE,47,WITBANK 2
TWE001,TWEEFONTEIN REC CLUB/GOLF CLUB                                   ,48,WITBANK 2
REE314,REEF - HARDWARE - GREENSIDE BOARDING HOUSE,49,WITBANK 2
DAR030,DARWO LODGE                                                      ,50,WITBANK 2
FOR006,SUN 1 HOTELS -  PROPRIETARY                                      ,1,WITBANK 3
COL007,COLLIERY TRAINING COLLEGE (PTY) LTD                              ,2,WITBANK 3
TAK020,TAKE 2 PIZZA COMPANY                                             ,3,WITBANK 3
PIC279,PICK N PAY REYNO RIDGE                                           ,4,WITBANK 3
FED4384,FEDICS - EDEN PARK RETIREMENT VILLAGE                            ,5,WITBANK 3
HYG001,HYGIENIC MEAT CO                                                 ,6,WITBANK 3
BAK012,BAKING CREATIONS                                                 ,7,WITBANK 3
YUM010,YUMMY CHICKEN KLIPFONTEIN                                        ,8,WITBANK 3
BLU177,BLUE LAGOON                                                      ,9,WITBANK 3
GOG002,GO GO BURGERS TAKE AWAY                                          ,10,WITBANK 3
MEA033,MEAT DISCOUNTERS                                                 ,11,WITBANK 3
HUN030,HUNTSMAN                                                         ,12,WITBANK 3
CAM067,CAMBRIGE TUCK SHOP                                               ,13,WITBANK 3
JAV008,JAVA JUNCTION                                                    ,14,WITBANK 3
BLU190,THE BLUE ROOM                                                    ,15,WITBANK 3
PRO128,PROTEA HOTEL HIGHVELD                                            ,16,WITBANK 3
RAK002,RAKU LOUNGE                                                      ,17,WITBANK 3
EQU014,FEDICS - REEF - CROSS ATLANTIC                                   ,18,WITBANK 3
REE032,FEDICS - REEF - RAND CARBIDE                                     ,19,WITBANK 3
GEN010,GENERAAL HERTZOGS KOSHUIS                                        ,20,WITBANK 3
PRO168,PROTEA HOTEL WITBANK                                             ,21,WITBANK 3
POP001,POPEYS                                                           ,22,WITBANK 3
